t1	1	0
t10	0	0
t100	-	-
t101	1	1
t102	1	1
t103	0	0
t104	1	0
t105	1	0
t106	1	0
t107	0	0
t108	0	0
t109	1	0
t11	1	0
t110	1	0
t111	1	1
t112	0	0
t113	1	1
t114	0	0
t115	1	0
t116	0	0
t117	0	0
t118	0	0
t119	0	0
t12	0	0
t120	0	0
t121	1	1
t122	1	1
t123	1	0
t124	1	1
t125	1	1
t126	1	0
t127	1	1
t128	1	1
t129	1	0
t13	0	0
t130	1	1
t131	1	0
t132	1	1
t133	1	1
t134	1	1
t135	1	1
t136	1	0
t137	0	0
t138	1	0
t139	1	1
t14	1	1
t140	1	0
t141	0	0
t142	1	1
t143	1	0
t144	1	1
t145	0	0
t146	1	1
t147	0	0
t148	1	1
t149	1	1
t15	1	0
t150	1	1
t151	1	0
t152	1	0
t153	0	0
t154	1	0
t155	1	1
t156	0	0
t157	1	0
t158	1	0
t159	1	1
t16	1	1
t160	1	1
t161	1	0
t162	1	1
t163	1	1
t164	1	1
t165	1	0
t166	1	1
t167	1	0
t168	1	1
t169	1	1
t17	1	0
t170	1	1
t171	0	0
t172	1	0
t173	1	1
t174	1	0
t175	0	0
t176	0	0
t177	1	1
t178	0	0
t179	0	0
t18	1	1
t180	0	0
t181	1	1
t182	1	0
t183	0	0
t184	1	1
t185	0	0
t186	0	0
t187	0	1
t188	0	0
t189	1	1
t19	0	0
t190	1	0
t191	1	0
t192	0	0
t193	0	0
t194	1	1
t195	0	0
t196	1	0
t197	1	1
t198	1	1
t199	1	1
t2	1	1
t20	1	1
t200	0	0
t201	0	0
t202	1	0
t203	0	0
t204	1	0
t205	1	0
t206	0	0
t207	0	0
t208	1	1
t209	1	1
t21	1	0
t210	1	1
t211	0	0
t212	0	0
t213	1	0
t214	1	0
t215	1	1
t216	0	0
t217	0	0
t218	1	0
t219	1	0
t22	1	1
t220	1	0
t221	1	1
t222	1	1
t223	1	1
t224	1	0
t225	1	1
t226	0	0
t227	1	0
t228	0	0
t229	1	1
t23	0	0
t230	1	1
t231	1	1
t232	1	1
t233	0	0
t234	1	0
t235	1	0
t236	1	0
t237	0	0
t238	0	0
t239	1	0
t24	1	1
t240	1	1
t241	1	1
t242	1	1
t243	1	1
t244	0	0
t245	1	0
t246	1	1
t247	0	0
t248	1	1
t249	1	1
t25	1	1
t250	0	0
t251	1	1
t252	1	1
t253	0	0
t254	0	0
t255	1	1
t256	0	0
t257	0	0
t258	0	0
t259	1	1
t26	0	0
t260	1	1
t261	0	0
t262	1	1
t263	1	1
t264	1	0
t265	1	1
t266	1	0
t267	0	0
t268	1	1
t269	1	1
t27	1	0
t270	1	1
t271	0	0
t272	1	0
t273	1	0
t274	0	0
t275	1	1
t276	1	0
t277	0	0
t278	1	0
t279	0	0
t28	1	0
t280	0	0
t281	0	0
t282	1	1
t283	0	1
t284	1	1
t285	1	0
t286	0	0
t287	1	0
t288	1	1
t289	0	0
t29	1	0
t290	0	0
t291	1	0
t292	1	1
t293	0	0
t294	0	0
t295	0	0
t296	1	0
t297	1	1
t298	1	0
t299	1	0
t3	1	1
t30	1	1
t300	1	0
t301	1	0
t302	0	0
t303	1	1
t304	1	0
t305	0	0
t306	1	1
t307	0	0
t308	1	1
t309	1	1
t31	1	0
t310	1	1
t311	0	0
t312	0	0
t313	1	1
t314	0	0
t315	1	0
t316	1	0
t317	1	0
t318	1	0
t319	1	1
t32	1	0
t320	1	1
t321	0	0
t322	1	1
t323	1	0
t324	0	0
t325	1	1
t326	0	0
t327	0	0
t328	0	0
t329	1	0
t33	1	0
t330	0	0
t331	1	0
t332	0	0
t333	0	0
t334	0	0
t335	0	0
t336	1	1
t337	1	1
t338	1	0
t339	1	1
t34	1	0
t340	1	0
t341	1	0
t342	1	0
t343	0	0
t344	0	0
t345	1	0
t346	1	0
t347	0	0
t348	1	0
t349	0	0
t35	1	0
t350	0	1
t351	1	0
t352	1	1
t353	1	0
t354	1	0
t355	0	0
t356	1	0
t357	1	1
t358	1	0
t359	1	0
t36	0	1
t360	1	1
t361	0	0
t362	0	0
t363	0	0
t364	1	1
t365	1	0
t366	0	0
t367	1	0
t368	1	1
t369	1	1
t37	0	0
t370	1	1
t371	0	0
t372	1	0
t373	1	1
t374	1	1
t375	0	0
t376	1	0
t377	1	1
t378	1	0
t379	1	1
t38	1	1
t380	0	0
t381	1	0
t382	1	0
t383	1	1
t384	1	1
t385	1	0
t386	1	1
t387	1	1
t388	1	1
t389	1	1
t39	0	0
t390	1	1
t391	1	1
t392	1	1
t393	1	0
t394	0	0
t395	1	0
t396	1	1
t397	1	0
t398	1	0
t399	0	0
t4	0	0
t40	1	1
t400	1	0
t401	1	0
t402	1	1
t403	1	1
t404	1	0
t405	1	1
t406	1	1
t407	1	1
t408	1	0
t409	1	1
t41	1	0
t410	0	0
t411	0	0
t412	1	1
t413	1	1
t414	1	0
t415	0	0
t416	1	1
t417	1	1
t418	1	0
t419	1	1
t42	1	1
t420	1	0
t421	0	0
t422	0	0
t423	1	1
t424	1	0
t425	1	1
t426	1	0
t427	1	0
t428	1	1
t429	1	1
t43	0	0
t430	0	0
t431	0	0
t432	1	1
t433	1	1
t434	1	1
t435	0	0
t436	1	0
t437	0	0
t438	1	1
t439	0	0
t44	1	1
t440	1	1
t441	1	1
t442	1	0
t443	1	1
t444	1	0
t445	1	0
t446	0	0
t447	0	0
t448	1	1
t449	1	0
t45	0	0
t450	0	1
t451	0	0
t452	1	0
t453	0	0
t454	0	0
t455	0	0
t456	0	0
t457	0	0
t458	1	0
t459	1	1
t46	0	0
t460	1	1
t461	1	0
t462	1	1
t463	0	0
t464	0	0
t465	1	1
t466	0	0
t467	1	1
t468	0	0
t469	0	0
t47	1	0
t470	1	0
t471	1	0
t472	1	1
t473	0	0
t474	1	0
t475	1	0
t476	1	0
t477	1	0
t478	1	0
t479	1	1
t48	1	1
t480	0	0
t481	1	0
t482	1	0
t483	0	0
t484	1	1
t485	0	1
t486	1	0
t487	0	0
t488	1	0
t489	1	1
t49	1	0
t490	1	1
t491	0	0
t492	1	1
t493	1	1
t494	0	0
t495	0	0
t496	1	1
t497	0	0
t498	0	0
t499	1	1
t5	1	1
t50	1	1
t500	1	1
t51	1	1
t52	1	0
t53	0	0
t54	1	1
t55	0	0
t56	1	0
t57	1	1
t58	0	0
t59	1	1
t6	1	0
t60	1	0
t61	1	1
t62	1	1
t63	1	1
t64	1	0
t65	1	1
t66	0	0
t67	1	0
t68	1	0
t69	1	1
t7	0	0
t70	0	0
